survey_id,survey_time,survey_set,Please indicate your gender,How many years have you been teaching?,What is your current awareness of the growth mindset?,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,All of my students would improve their intelligence if they worked hard at it,Maths involves mostly facts and procedures that have to be learned,"There will always be some students who simply won't ""get it"" no matter what I do","In maths, answers are either right or wrong",Discussing students' errors with the class is a good strategy for enhancing students' understanding,Intelligence is something that people have a certain amount of and there isn't much they can do to change it,Some people have a knack for learning and some just don't,Students who finish their work quickly understand the material better than students who take longer,I can improve my skills but I can't change my basic level of ability,"In maths, you can be creative and discover things on your own",Effort should be a major consideration when grading students,Mathematical ability is something that remains relatively fixed throughout a person's life,"NA",There is usually only one way to solve a maths problem
1,pre,about_you,Male,<1 Year,Very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,pre,about_you,Female,<1 Year,Aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,pre,about_you,Female,>15 years,Aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,pre,about_you,Female,3-5 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,pre,about_you,Female,6-8 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,pre,about_you,Female,3-5 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,pre,about_you,Female,6-8 years,Not very aware,I don't know,Not a school priority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,pre,about_you,Female,12-15years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,pre,about_you,Female,3-5 years,Not at all aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,pre,about_you,Female,6-8 years,Not very aware,"No, but I know there are plans to",Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,pre,about_you,Female,9-11 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,pre,about_you,Female,12-15years,Not at all aware,Yes,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,pre,about_you,Female,3-5 years,Aware,Yes,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,pre,about_you,Female,6-8 years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,pre,about_you,Female,6-8 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,pre,about_you,Female,9-11 years,Aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
